DATE,PRICE
Aug-00,7.2
Sep-00,7.26
Oct-00,7.13
Nov-00,6.96
Dec-00,6.67
01-Jan,6.04
01-Feb,5.51
01-Mar,5.81
01-Apr,6.2
01-May,6.1
01-Jun,5.8
01-Jul,5.47
01-Aug,5.05
01-Sep,4.75
01-Oct,4.42
01-Nov,4.88
01-Dec,5.34
02-Jan,5.23
02-Feb,4.96
02-Mar,5.26
02-Apr,5.42
02-May,5.42
02-Jun,5.38
02-Jul,5.34
02-Aug,5.04
02-Sep,5.03
02-Oct,5.14
02-Nov,5.04
02-Dec,5.03
03-Jan,4.79
03-Feb,4.63
03-Mar,4.72
03-Apr,4.6
03-May,4.3
03-Jun,4.28
03-Jul,4.27
03-Aug,4.15
03-Sep,4.07
03-Oct,4.11
03-Nov,4.47
03-Dec,4.67
04-Jan,4.6
04-Feb,4.42
04-Mar,4.25
04-Apr,4.13
04-May,4.07
04-Jun,4.12
04-Jul,4.06
04-Aug,3.73
04-Sep,3.5
04-Oct,3.48
04-Nov,3.34
04-Dec,3.28
05-Jan,3.48
05-Feb,3.48
05-Mar,3.82
05-Apr,3.71
05-May,3.6
05-Jun,3.66
05-Jul,3.77
05-Aug,3.88
05-Sep,4.19
05-Oct,4.44
05-Nov,4.57
05-Dec,4.67
06-Jan,4.62
06-Feb,4.57
06-Mar,4.57
06-Apr,4.61
06-May,4.59
06-Jun,4.7
06-Jul,4.82
06-Aug,4.76
06-Sep,4.68
06-Oct,4.64
06-Nov,4.7
06-Dec,4.85
07-Jan,4.98
07-Feb,4.96
07-Mar,4.89
07-Apr,4.97
07-May,5.11
07-Jun,5.15
07-Jul,5.29
07-Aug,5.3
07-Sep,5.39
07-Oct,5.34
07-Nov,5.36
07-Dec,5.6
08-Jan,5.47
08-Feb,5
08-Mar,5.05
08-Apr,5.06
08-May,5.07
08-Jun,5.22
08-Jul,5.41
08-Aug,5.44
08-Sep,5.48
08-Oct,5.2
08-Nov,5.03
08-Dec,3.99
09-Jan,2.72
09-Feb,2.36
09-Mar,2.51
09-Apr,2.49
09-May,2.56
09-Jun,2.85
09-Jul,2.75
09-Aug,3.14
09-Sep,3.44
09-Oct,3.52
09-Nov,3.28
09-Dec,3.3
10-Jan,3.29
10-Feb,3.12
10-Mar,2.83
10-Apr,2.67
10-May,2.73
10-Jun,2.92
10-Jul,3.14
10-Aug,3.13
10-Sep,2.99
10-Oct,2.8
10-Nov,2.92
10-Dec,2.87
11-Jan,3.09
11-Feb,3.39
11-Mar,3.42
11-Apr,3.43
11-May,3.43
11-Jun,3.49
11-Jul,3.59
11-Aug,3.5
11-Sep,3.41
11-Oct,3.46
11-Nov,3.42
11-Dec,3.4
12-Jan,3.39
12-Feb,3.41
12-Mar,3.47
12-Apr,3.45
12-May,3.37
12-Jun,3.29
12-Jul,3.02
12-Aug,2.84
12-Sep,2.85
12-Oct,2.81
12-Nov,2.79
12-Dec,2.8
13-Jan,2.72
13-Feb,2.68
13-Mar,2.6
13-Apr,2.58
13-May,2.59
13-Jun,2.66
13-Jul,2.66
13-Aug,2.66
13-Sep,2.67
13-Oct,2.66
13-Nov,2.705
13-Dec,2.685
14-Jan,2.657
14-Feb,2.64
14-Mar,2.659
14-Apr,2.653
14-May,2.641
14-Jun,2.602
14-Jul,2.488
14-Aug,2.389
14-Sep,2.277
14-Oct,2.134
14-Nov,2.047
14-Dec,2.072
15-Jan,1.995
15-Feb,1.981
15-Mar,1.838
15-Apr,1.703
15-May,1.746
15-Jun,1.63
15-Jul,1.597
15-Aug,1.582
15-Sep,1.553
15-Oct,1.546
15-Nov,1.631
15-Dec,1.635
16-Jan,1.587
16-Feb,1.469
16-Mar,1.507
16-Apr,1.493
16-May,1.48
16-Jun,1.361
16-Jul,1.26
16-Aug,1.265
16-Sep,1.322
16-Oct,1.369
16-Nov,1.511
16-Dec,1.576
17-Jan,1.496
17-Feb,1.465
17-Mar,1.485
17-Apr,1.467
17-May,1.464
17-Jun,1.461
17-Jul,1.464
17-Aug,1.471
17-Sep,1.481
17-Oct,1.654
17-Nov,1.787
17-Dec,1.833
18-Jan,1.839
18-Feb,1.851
18-Mar,1.875
18-Apr,1.873
18-May,1.887
18-Jun,1.851
18-Jul,1.842
18-Aug,1.83
18-Sep,1.79
18-Oct,1.853
18-Nov,1.844
18-Dec,1.776
19-Jan,1.733
19-Feb,1.76
19-Mar,1.769
19-Apr,1.751
19-May,1.711
19-Jun,1.56
19-Jul,1.478
19-Aug,1.186
19-Sep,1.228
19-Oct,1.298
19-Nov,1.386
19-Dec,1.35
20-Jan,1.316
20-Feb,1.214
20-Mar,1.03
20-Apr,0.893
20-May,0.779
20-Jun,0.719
