DATE,OUT,IN
2000.08,14786880,13441139
2000.09,15133379,13291803
2000.1,15248068,14104212
2000.11,14989068,14160418
2000.12,14976555,13175885
2001.01,12644929,12431023
2001.02,13354074,12732258
2001.03,14124891,12951886
2001.04,12121110,11212192
2001.05,13306959,11554834
2001.06,12931941,11718966
2001.07,11392257,11107564
2001.08,11766192,11337826
2001.09,12447324,11709659
2001.1,12086028,11506884
2001.11,12348967,11532771
2001.12,11914472,11301958
2002.01,11381879,11326430
2002.02,11023037,10471161
2002.03,13251323,11990097
2002.04,13184534,12559696
2002.05,14173177,12698101
2002.06,12894088,11934221
2002.07,13395179,13031773
2002.08,13959110,12860751
2002.09,13900763,12991557
2002.1,15084659,13817061
2002.11,15196561,13993431
2002.12,15026217,14451874
2003.01,14319931,14494967
2003.02,13337145,13858274
2003.03,15378850,15870217
2003.04,15720592,14758747
2003.05,14676092,13523642
2003.06,15656327,13428141
2003.07,15431714,14898003
2003.08,15375268,13541360
2003.09,17021082,14531444
2003.1,18929665,16536628
2003.11,18242088,15760750
2003.12,19728688,17624485
2004.01,18987120,16208879
2004.02,19136968,17468564
2004.03,21174855,19120078
2004.04,21483357,18829952
2004.05,20834259,17895384
2004.06,21657111,18544350
2004.07,21003794,18390091
2004.08,19798969,18124364
2004.09,20831133,18193347
2004.1,22663289,20408216
2004.11,23076612,20311965
2004.12,23197206,20967497
2005.01,22454025,19450003
2005.02,20401096,18396908
2005.03,23952500,22779866
2005.04,22872505,21244490
2005.05,23122703,21161778
2005.06,23707576,21288597
2005.07,23235522,21508824
2005.08,23342967,22000828
2005.09,24519191,22718657
2005.1,25352748,22652735
2005.11,25826192,23849552
2005.12,25631716,24186026
2006.01,23257866,23089304
2006.02,23786956,23507780
2006.03,26840145,25945007
2006.04,25590123,24485820
2006.05,27934507,26210366
2006.06,27948805,26023464
2006.07,25774350,25549715
2006.08,27287195,27029461
2006.09,29651247,27636644
2006.1,28015959,25621762
2006.11,30602313,26765115
2006.12,28775383,27518194
2007.01,28092561,27560101
2007.02,26225125,25406152
2007.03,30385840,29295460
2007.04,29944456,29596882
2007.05,31039901,29856937
2007.06,32000109,28508098
2007.07,30207444,29223201
2007.08,30998134,29642050
2007.09,29323535,27193582
2007.1,34433813,32741232
2007.11,35807893,33926124
2007.12,33030276,33895915
2008.01,32274575,36318030
2008.02,31178190,32624334
2008.03,35991776,37110561
2008.04,37850247,38260401
2008.05,39383158,38704468
2008.06,37258608,37827931
2008.07,40961223,42952491
2008.08,36610603,40420447
2008.09,37428303,39528073
2008.1,37111140,36098774
2008.11,28841617,28853646
2008.12,27117889,26575580
2009.01,21133405,24898821
2009.02,25397150,22598094
2009.03,27890831,23920622
2009.04,30326509,24873845
2009.05,27823839,23407033
2009.06,32210048,25689293
