DATE,PRICE
2000. 08,81.431
2000. 09,84.573
2000. 10,88.914
2000. 11,92.013
2000. 12,92.402
2001. 01,95.391
2001. 02,97.118
2001. 03,96.552
2001. 04,95.847
2001. 05,95.031
2001. 06,94.098
2001. 07,94.734
2001. 08,91.532
2001. 09,91.771
2001. 10,90.401
2001. 11,89.317
2001. 12,91.322
2002. 01,87.49
2002. 02,83.281
2002. 03,80.363
2002. 04,81.318
2002. 05,81.026
2002. 06,84.982
2002. 07,82.803
2002. 08,83.814
2002. 09,81.574
2002. 10,82.316
2002. 11,80.929
2002. 12,80.783
2003. 01,83.759
2003. 02,85.364
2003. 03,86.053
2003. 04,88.703
2003. 05,88.469
2003. 06,86.385
2003. 07,90.401
2003. 08,87.324
2003. 09,83.807
2003. 10,81.579
2003. 11,81.192
2003. 12,80.164
2004. 01,79.625
2004. 02,80.673
2004. 03,82.051
2004. 04,80.022
2004. 05,80.553
2004. 06,82.488
2004. 07,82.929
2004. 08,83.5
2004. 09,81.738
2004. 10,81.638
2004. 11,82.047
2004. 12,85.005
2005. 01,83.444
2005. 02,84.934
2005. 03,83.316
2005. 04,85.497
2005. 05,87.082
2005. 06,82.799
2005. 07,83.421
2005. 08,81.859
2005. 09,83.399
2005. 10,81.4
2005. 11,78.498
2005. 12,80.876
2006. 01,80.066
2006. 02,82.969
2006. 03,84.082
2006. 04,84.582
2006. 05,84.442
2006. 06,85.598
2006. 07,90.252
2006. 08,83.857
2006. 09,82.766
2006. 10,80.21
2006. 11,81.087
2006. 12,83.399
2007. 01,85.885
2007. 02,83.712
2007. 03,83.992
2007. 04,81.84
2007. 05,82.149
2007. 06,83.574
2007. 07,80.739
2007. 08,82.026
2007. 09,81.06
2007. 10,79.191
2007. 11,78.164
2007. 12,79.341
2008. 01,80.867
2008. 02,83.738
2008. 03,82.009
2008. 04,83.548
2008. 05,86.674
2008. 06,91.234
2008. 07,88.456
2008. 08,90.586
2008. 09,91.784
2008. 10,94.631
2008. 11,102.519
2008. 12,104.551
2009. 01,102.221
2009. 02,91.297
2009. 03,87.953
2009. 04,82.841
2009. 05,80.659
2009. 06,77.14
2009. 07,75.586
2009. 08,77.819
2009. 09,75.85
2009. 10,76.141
2009. 11,75.506
2009. 12,75.63
2010. 01,81.513
2010. 02,83.666
2010. 03,80.817
2010. 04,80.584
2010. 05,79.699
2010. 06,78.816
2010. 07,79.409
2010. 08,80.502
2010. 09,81.065
2010. 10,81.734
2010. 11,80.146
2010. 12,81.469
2011. 01,77.38
2011. 02,79.508
2011. 03,80.082
2011. 04,82.251
2011. 05,83.151
2011. 06,84.656
2011. 07,84.213
2011. 08,85.135
2011. 09,85.798
2011. 10,87.548
2011. 11,89.945
2011. 12,93.183
2012. 01,87.846
2012. 02,86.282
2012. 03,89.335
2012. 04,88.096
2012. 05,87.439
2012. 06,86.838
2012. 07,86.286
2012. 08,92.287
2012. 09,86.676
2012. 10,87.647
2012. 11,90.835
2012. 12,93.058
2013. 01,93.016
2013. 02,92.526
2013. 03,92.719
2013. 04,91.396
2013. 05,91.105
2013. 06,89.5
2013. 07,92.704
2013. 08,90.634
2013. 09,95.047
2013. 10,93.954
2013. 11,96.243
2013. 12,96.535
2014. 01,95.138
2014. 02,95.275
2014. 03,95.126
2014. 04,96.932
2014. 05,97.172
2014. 06,95.15
2014. 07,96.778
2014. 08,96.711
2014. 09,98.052
2014. 10,99.281
2014. 11,96.177
2014. 12,93.918
2015. 01,96.5
2015. 02,96.3
2015. 03,98
2015. 04,99
2015. 05,100.4
2015. 06,102
2015. 07,102.6
2015. 08,101.1
2015. 09,101
2015. 10,100.3
2015. 11,101.1
2015. 12,100.8
2016. 01,106
2016. 02,105.2
2016. 03,103.1
2016. 04,103.4
2016. 05,100.9
2016. 06,100.8
2016. 07,100.3
2016. 08,101.2
2016. 09,100.5
2016. 10,100.2
2016. 11,96.1
2016. 12,94.1
2017. 01,95
2017. 02,96.8
2017. 03,94.9
2017. 04,98.9
2017. 05,101.5
2017. 06,99
2017. 07,99.5
2017. 08,100
2017. 09,98.4
2017. 10,101.5
2017. 11,99.9
2017. 12,106.7
2018. 01,105
2018. 02,105.4
2018. 03,106.9
2018. 04,106.8
2018. 05,102.6
2018. 06,105.5
2018. 07,105.1
2018. 08,103.8
2018. 09,103.6
2018. 10,103.9
2018. 11,109.1
2018. 12,114.3
2019. 01,109.3
2019. 02,112.3
2019. 03,107.1
2019. 04,111.5
2019. 05,112
2019. 06,110
2019. 07,111.1
2019. 08,108.5
2019. 09,109.1
2019. 10,110.1
2019. 11,111.8
2019. 12,105.4
2020. 01,114.5
2020. 02,119.2
2020. 03,110.8
2020. 04,119.9
2020. 05,128.6
2020. 06,117.1
