DATE,PRICE
2000. 08,720.35
2000. 09,622.92
2000. 10,548.07
2000. 11,544.09
2000. 12,526.36
2001. 01,585.02
2001. 02,593.4
2001. 03,543.89
2001. 04,530.27
2001. 05,600.73
2001. 06,602.93
2001. 07,554.11
2001. 08,567.65
2001. 09,504.04
2001. 10,523.27
2001. 11,604.92
2001. 12,665.95
2002. 01,738.99
2002. 02,774.42
2002. 03,864.66
2002. 04,894.03
2002. 05,842.23
2002. 06,784.3
2002. 07,753.67
2002. 08,713.23
2002. 09,703
2002. 10,642.22
2002. 11,679.73
2002. 12,699.84
2003. 01,630.98
2003. 02,591.56
2003. 03,550.75
2003. 04,585.88
2003. 05,613.49
2003. 06,663.17
2003. 07,703.53
2003. 08,731.65
2003. 09,742.29
2003. 10,756.45
2003. 11,789.05
2003. 12,801.18
2004. 01,845.53
2004. 02,867.45
2004. 03,875.58
2004. 04,907.14
2004. 05,798.79
2004. 06,771.61
2004. 07,746.07
2004. 08,770.31
2004. 09,835.92
2004. 10,849.11
2004. 11,863.1
2004. 12,873.06
2005. 01,903.35
2005. 02,964.48
2005. 03,988.23
2005. 04,955.41
2005. 05,938.98
2005. 06,991.34
2005. 07,1058.71
2005. 08,1101.84
2005. 09,1171.02
2005. 10,1190.86
2005. 11,1253.26
2005. 12,1338.81
2006. 01,1379.32
2006. 02,1341.72
2006. 03,1331.72
2006. 04,1415.92
2006. 05,1388.83
2006. 06,1249.19
2006. 07,1278
2006. 08,1316.08
2006. 09,1356.53
2006. 10,1354.04
2006. 11,1403.93
2006. 12,1418.83
2007. 01,1379.25
2007. 02,1434.89
2007. 03,1431.62
2007. 04,1517.12
2007. 05,1614.94
2007. 06,1754.28
2007. 07,1911.56
2007. 08,1815.02
2007. 09,1879.03
2007. 10,2004.55
2007. 11,1924.84
2007. 12,1903.99
2008. 01,1732.29
2008. 02,1689.53
2008. 03,1651.15
2008. 04,1776.58
2008. 05,1846.75
2008. 06,1758.17
2008. 07,1569.6
2008. 08,1537.55
2008. 09,1446.56
2008. 10,1201.7
2008. 11,1073.95
2008. 12,1114.9
2009. 01,1156.37
2009. 02,1139.75
2009. 03,1140.45
2009. 04,1322.1
2009. 05,1400.5
2009. 06,1395.24
2009. 07,1460.03
2009. 08,1577.91
2009. 09,1659.45
2009. 10,1630.61
2009. 11,1583.47
2009. 12,1646.64
2010. 01,1682.16
2010. 02,1598.96
2010. 03,1665.5
2010. 04,1730.29
2010. 05,1648.3
2010. 06,1691.94
2010. 07,1731.12
2010. 08,1762.18
2010. 09,1815.75
2010. 10,1889.7
2010. 11,1924.71
2010. 12,2002.5
2011. 01,2091.61
2011. 02,2002.87
2011. 03,2002.67
2011. 04,2153.13
2011. 05,2121.87
2011. 06,2074.64
2011. 07,2150.06
2011. 08,1869.41
2011. 09,1790.95
2011. 10,1825.88
2011. 11,1858.8
2011. 12,1863.23
2012. 01,1891.01
2012. 02,2003.23
2012. 03,2023.41
2012. 04,1995.92
2012. 05,1886.35
2012. 06,1848.6
2012. 07,1826.75
2012. 08,1918.91
2012. 09,1961.29
2012. 10,1942.19
2012. 11,1904.7
2012. 12,1973.84
2013. 01,1986.1
2013. 02,1979.85
2013. 03,1990.24
2013. 04,1938.88
2013. 05,1974.45
2013. 06,1884.41
2013. 07,1871.77
2013. 08,1896.96
2013. 09,1984.39
2013. 10,2029.68
2013. 11,2009.92
2013. 12,1988.33
2014. 01,1948.22
2014. 02,1937.73
2014. 03,1952.43
2014. 04,1991.19
2014. 05,1994.13
2014. 06,1995.08
2014. 07,2021.95
2014. 08,2060.93
2014. 09,2042.71
2014. 10,1942.8
2014. 11,1959.65
2014. 12,1941.93
2015. 01,1920.99
2015. 02,1961
2015. 03,2012.62
2015. 04,2107.27
2015. 05,2114.9
2015. 06,2063.69
2015. 07,2058.03
2015. 08,1952.55
2015. 09,1939.58
2015. 10,2020.57
2015. 11,2006.78
2015. 12,1971.53
2016. 01,1894.65
2016. 02,1900.61
2016. 03,1976.5
2016. 04,1996.17
2016. 05,1966.68
2016. 06,1977.03
2016. 07,2002.48
2016. 08,2036.66
2016. 09,2042.56
2016. 10,2036.03
2016. 11,1981.75
2016. 12,2021.67
2017. 01,2061.73
2017. 02,2082.8
2017. 03,2136.17
2017. 04,2160.18
2017. 05,2301.89
2017. 06,2372.2
2017. 07,2412.9
2017. 08,2372.18
2017. 09,2371.84
2017. 10,2482.87
2017. 11,2533.51
2017. 12,2467.73
2018. 01,2520.94
2018. 02,2439.1
2018. 03,2451.57
2018. 04,2458.22
2018. 05,2461.3
2018. 06,2394.51
2018. 07,2284.25
2018. 08,2283.8
2018. 09,2307.33
2018. 10,2153.48
2018. 11,2083.33
2018. 12,2070.13
2019. 01,2101.98
2019. 02,2210.2
2019. 03,2161.91
2019. 04,2212.12
2019. 05,2086.9
2019. 06,2105.3
2019. 07,2079.48
2019. 08,1944.24
2019. 09,2045.21
2019. 10,2065.75
2019. 11,2128.79
2019. 12,2147.01
2020. 01,2203.44
2020. 02,2167.12
2020. 03,1786.75
2020. 04,1849.59
2020. 05,1965.17
2020. 06,2134.7
