DATE,PRICE
Aug-00,20921
Sep-00,20872
Oct-00,19868
Nov-00,18991
Dec-00,19457
01-Jan,20007
01-Feb,19339
01-Mar,17693
01-Apr,18616
01-May,18874
01-Jun,19103
01-Jul,19095
01-Aug,18720
01-Sep,18886
01-Oct,21333
01-Nov,19648
01-Dec,19635
02-Jan,20211
02-Feb,22923
02-Mar,22677
02-Apr,22302
02-May,22840
02-Jun,21930
02-Jul,21496
02-Aug,21447
02-Sep,22342
02-Oct,21072
02-Nov,21529
02-Dec,21988
03-Jan,22818
03-Feb,24961
03-Mar,25184
03-Apr,25543
03-May,24932
03-Jun,24455
03-Jul,24088
03-Aug,24002
03-Sep,26228
03-Oct,25578
03-Nov,26432
03-Dec,25606
04-Jan,26019
04-Feb,26361
04-Mar,26846
04-Apr,27980
04-May,29076
04-Jun,28797
04-Jul,30555
04-Aug,30518
04-Sep,31516
04-Oct,30437
04-Nov,31224
04-Dec,32847
05-Jan,32886
05-Feb,36610
05-Mar,36232
05-Apr,36576
05-May,36457
05-Jun,35780
05-Jul,35857
05-Aug,36229
05-Sep,37134
05-Oct,35527
05-Nov,34501
05-Dec,33999
06-Jan,34419
06-Feb,34281
06-Mar,32892
06-Apr,32222
06-May,32133
06-Jun,31856
06-Jul,31678
06-Aug,32273
06-Sep,31531
06-Oct,33803
06-Nov,32985
06-Dec,33989
07-Jan,32445
07-Feb,34272
07-Mar,32698
07-Apr,31860
07-May,32046
07-Jun,31441
07-Jul,31536
07-Aug,31708
07-Sep,31865
07-Oct,31223
07-Nov,30721
07-Dec,31390
08-Jan,31133
08-Feb,32027
08-Mar,30684
08-Apr,31625
08-May,32082
08-Jun,32480
08-Jul,31830
08-Aug,31921
08-Sep,33230
08-Oct,31881
08-Nov,31057
08-Dec,30705
09-Jan,32205
09-Feb,32900
09-Mar,34586
09-Apr,36360
09-May,40060
09-Jun,40623
09-Jul,43963
09-Aug,41136
09-Sep,41003
09-Oct,41390
09-Nov,42286
09-Dec,43068
10-Jan,42499
10-Feb,44299
10-Mar,44277
10-Apr,45163
10-May,47020
10-Jun,47312
10-Jul,46331
10-Aug,45253
10-Sep,46290
10-Oct,46078
10-Nov,46732
10-Dec,47304
11-Jan,47578
11-Feb,48099
11-Mar,47260
11-Apr,47307
11-May,47584
11-Jun,48259
11-Jul,48348
11-Aug,48582
11-Sep,51267
11-Oct,50603
11-Nov,51345
11-Dec,52675
12-Jan,53814
12-Feb,53601
12-Mar,53524
12-Apr,54971
12-May,56551
12-Jun,56944
12-Jul,57061
12-Aug,57245
12-Sep,58460
12-Oct,57775
12-Nov,58328
12-Dec,58644
13-Jan,59966
13-Feb,62257
13-Mar,62118
13-Apr,64771
13-May,66518
13-Jun,68072
13-Jul,67615
13-Aug,68697
13-Sep,70211
13-Oct,70532
13-Nov,70851
13-Dec,72098
14-Jan,74027
14-Feb,75869
14-Mar,76841
14-Apr,79486
14-May,81517
14-Jun,81630
14-Jul,81948
14-Aug,83154
14-Sep,85686
14-Oct,85424
14-Nov,86519
14-Dec,88300
15-Jan,86906
15-Feb,90052
15-Mar,91249
15-Apr,90931
15-May,93233
15-Jun,94270
15-Jul,93837
15-Aug,94436
15-Sep,96197
15-Oct,97506
15-Nov,97133
15-Dec,96254
16-Jan,98879
16-Feb,101385
16-Mar,99858
16-Apr,99260
16-May,99926
16-Jun,100005
16-Jul,99805
16-Aug,100747
16-Sep,102281
16-Oct,100662
16-Nov,99216
16-Dec,98915
17-Jan,101856
17-Feb,102290
17-Mar,103270
17-Apr,104158
17-May,105358
17-Jun,105837
17-Jul,107339
17-Aug,106469
17-Sep,108105
17-Oct,110480
17-Nov,108961
17-Dec,107647
18-Jan,109289
18-Feb,112247
18-Mar,112258
18-Apr,111805
18-May,113013
18-Jun,112557
18-Jul,112416
18-Aug,113032
18-Sep,115310
18-Oct,116316
18-Nov,116765
18-Dec,117290
19-Jan,119145
19-Feb,121465
19-Mar,119543
19-Apr,120244
19-May,120733
19-Jun,122545
19-Jul,122343
19-Aug,123332
19-Sep,127101
19-Oct,126692
19-Nov,126283
19-Dec,126933
20-Jan,129451
20-Feb,130101
20-Mar,130222
20-Apr,132991
20-May,135830
20-Jun,137945
