date,data
2004-01,51
2004-02,49
2004-03,56
2004-04,57
2004-05,57
2004-06,60
2004-07,60
2004-08,73
2004-09,74
2004-10,73
2004-11,71
2004-12,63
2005-01,85
2005-02,87
2005-03,99
2005-04,67
2005-05,75
2005-06,66
2005-07,66
2005-08,61
2005-09,62
2005-10,54
2005-11,52
2005-12,50
2006-01,58
2006-02,55
2006-03,57
2006-04,66
2006-05,64
2006-06,56
2006-07,60
2006-08,61
2006-09,64
2006-10,65
2006-11,55
2006-12,50
2007-01,60
2007-02,58
2007-03,60
2007-04,65
2007-05,61
2007-06,59
2007-07,57
2007-08,59
2007-09,62
2007-10,57
2007-11,53
2007-12,51
2008-01,58
2008-02,59
2008-03,59
2008-04,59
2008-05,60
2008-06,59
2008-07,63
2008-08,58
2008-09,64
2008-10,59
2008-11,61
2008-12,65
2009-01,67
2009-02,60
2009-03,62
2009-04,64
2009-05,66
2009-06,65
2009-07,66
2009-08,68
2009-09,68
2009-10,68
2009-11,65
2009-12,63
2010-01,70
2010-02,69
2010-03,72
2010-04,71
2010-05,70
2010-06,63
2010-07,68
2010-08,66
2010-09,65
2010-10,64
2010-11,62
2010-12,56
2011-01,66
2011-02,65
2011-03,65
2011-04,66
2011-05,66
2011-06,66
2011-07,68
2011-08,67
2011-09,69
2011-10,90
2011-11,75
2011-12,72
2012-01,84
2012-02,100
2012-03,84
2012-04,78
2012-05,73
2012-06,69
2012-07,76
2012-08,74
2012-09,76
2012-10,70
2012-11,65
2012-12,64
2013-01,70
2013-02,74
2013-03,78
2013-04,73
2013-05,76
2013-06,83
2013-07,76
2013-08,76
2013-09,68
2013-10,71
2013-11,67
2013-12,64
2014-01,68
2014-02,69
2014-03,72
2014-04,69
2014-05,70
2014-06,67
2014-07,70
2014-08,71
2014-09,70
2014-10,66
2014-11,67
2014-12,65
2015-01,70
2015-02,71
2015-03,72
2015-04,73
2015-05,76
2015-06,76
2015-07,76
2015-08,76
2015-09,75
2015-10,73
2015-11,72
2015-12,70
2016-01,74
2016-02,76
2016-03,75
2016-04,74
2016-05,72
2016-06,73
2016-07,73
2016-08,71
2016-09,70
2016-10,72
2016-11,70
2016-12,70
2017-01,74
2017-02,75
2017-03,76
2017-04,75
2017-05,74
2017-06,74
2017-07,77
2017-08,75
2017-09,74
2017-10,75
2017-11,70
2017-12,69
2018-01,72
2018-02,76
2018-03,73
2018-04,74
2018-05,71
2018-06,70
2018-07,73
2018-08,74
2018-09,73
2018-10,89
2018-11,74
2018-12,73
2019-01,74
2019-02,78
2019-03,88
2019-04,79
2019-05,78
2019-06,78
2019-07,76
2019-08,78
2019-09,77
2019-10,73
2019-11,73
2019-12,69
2020-01,74
2020-02,73
2020-03,57
2020-04,58
2020-05,69
2020-06,80
2020-07,76
2020-08,76
2020-09,72
