date,data
2004-01,28
2004-02,38
2004-03,35
2004-04,41
2004-05,62
2004-06,23
2004-07,49
2004-08,80
2004-09,42
2004-10,21
2004-11,32
2004-12,39
2005-01,40
2005-02,25
2005-03,41
2005-04,26
2005-05,25
2005-06,36
2005-07,41
2005-08,25
2005-09,18
2005-10,32
2005-11,38
2005-12,46
2006-01,54
2006-02,45
2006-03,26
2006-04,42
2006-05,32
2006-06,35
2006-07,27
2006-08,28
2006-09,44
2006-10,21
2006-11,21
2006-12,49
2007-01,31
2007-02,32
2007-03,24
2007-04,36
2007-05,45
2007-06,43
2007-07,32
2007-08,36
2007-09,39
2007-10,58
2007-11,32
2007-12,45
2008-01,35
2008-02,33
2008-03,29
2008-04,27
2008-05,28
2008-06,29
2008-07,35
2008-08,37
2008-09,57
2008-10,39
2008-11,38
2008-12,63
2009-01,33
2009-02,24
2009-03,33
2009-04,40
2009-05,61
2009-06,50
2009-07,68
2009-08,58
2009-09,54
2009-10,50
2009-11,57
2009-12,81
2010-01,74
2010-02,66
2010-03,65
2010-04,54
2010-05,72
2010-06,65
2010-07,64
2010-08,75
2010-09,67
2010-10,59
2010-11,66
2010-12,98
2011-01,70
2011-02,58
2011-03,51
2011-04,52
2011-05,67
2011-06,65
2011-07,69
2011-08,61
2011-09,61
2011-10,54
2011-11,72
2011-12,98
2012-01,84
2012-02,64
2012-03,83
2012-04,91
2012-05,77
2012-06,75
2012-07,100
2012-08,90
2012-09,89
2012-10,84
2012-11,79
2012-12,90
2013-01,77
2013-02,68
2013-03,73
2013-04,85
2013-05,75
2013-06,68
2013-07,80
2013-08,73
2013-09,71
2013-10,66
2013-11,62
2013-12,76
2014-01,61
2014-02,65
2014-03,62
2014-04,58
2014-05,63
2014-06,57
2014-07,64
2014-08,69
2014-09,52
2014-10,54
2014-11,66
2014-12,68
2015-01,59
2015-02,65
2015-03,51
2015-04,54
2015-05,55
2015-06,54
2015-07,53
2015-08,55
2015-09,49
2015-10,48
2015-11,44
2015-12,74
2016-01,51
2016-02,49
2016-03,48
2016-04,52
2016-05,51
2016-06,52
2016-07,45
2016-08,49
2016-09,51
2016-10,54
2016-11,58
2016-12,72
2017-01,54
2017-02,50
2017-03,55
2017-04,55
2017-05,53
2017-06,50
2017-07,61
2017-08,56
2017-09,49
2017-10,48
2017-11,53
2017-12,59
2018-01,56
2018-02,53
2018-03,56
2018-04,52
2018-05,50
2018-06,50
2018-07,52
2018-08,47
2018-09,41
2018-10,46
2018-11,48
2018-12,55
2019-01,46
2019-02,44
2019-03,47
2019-04,47
2019-05,48
2019-06,46
2019-07,46
2019-08,47
2019-09,36
2019-10,38
2019-11,40
2019-12,49
2020-01,43
2020-02,40
2020-03,27
2020-04,29
2020-05,39
2020-06,32
2020-07,37
2020-08,43
2020-09,34
