date,data
2004-01,17
2004-02,16
2004-03,15
2004-04,15
2004-05,15
2004-06,15
2004-07,16
2004-08,17
2004-09,18
2004-10,18
2004-11,20
2004-12,25
2005-01,20
2005-02,19
2005-03,18
2005-04,18
2005-05,18
2005-06,19
2005-07,20
2005-08,20
2005-09,20
2005-10,21
2005-11,24
2005-12,28
2006-01,22
2006-02,20
2006-03,20
2006-04,20
2006-05,19
2006-06,19
2006-07,20
2006-08,21
2006-09,21
2006-10,21
2006-11,25
2006-12,30
2007-01,23
2007-02,21
2007-03,20
2007-04,20
2007-05,20
2007-06,21
2007-07,22
2007-08,22
2007-09,22
2007-10,24
2007-11,28
2007-12,33
2008-01,25
2008-02,22
2008-03,23
2008-04,22
2008-05,22
2008-06,23
2008-07,23
2008-08,24
2008-09,24
2008-10,25
2008-11,31
2008-12,38
2009-01,29
2009-02,26
2009-03,26
2009-04,24
2009-05,24
2009-06,25
2009-07,26
2009-08,26
2009-09,26
2009-10,27
2009-11,34
2009-12,40
2010-01,30
2010-02,27
2010-03,26
2010-04,25
2010-05,26
2010-06,26
2010-07,27
2010-08,29
2010-09,31
2010-10,32
2010-11,40
2010-12,49
2011-01,38
2011-02,35
2011-03,33
2011-04,33
2011-05,34
2011-06,36
2011-07,37
2011-08,39
2011-09,39
2011-10,41
2011-11,52
2011-12,61
2012-01,49
2012-02,44
2012-03,44
2012-04,42
2012-05,42
2012-06,42
2012-07,45
2012-08,45
2012-09,48
2012-10,50
2012-11,64
2012-12,73
2013-01,57
2013-02,52
2013-03,51
2013-04,49
2013-05,49
2013-06,50
2013-07,51
2013-08,54
2013-09,53
2013-10,52
2013-11,64
2013-12,76
2014-01,56
2014-02,53
2014-03,50
2014-04,52
2014-05,50
2014-06,51
2014-07,53
2014-08,56
2014-09,56
2014-10,60
2014-11,70
2014-12,79
2015-01,64
2015-02,59
2015-03,55
2015-04,55
2015-05,56
2015-06,56
2015-07,61
2015-08,63
2015-09,59
2015-10,65
2015-11,78
2015-12,87
2016-01,58
2016-02,52
2016-03,50
2016-04,52
2016-05,52
2016-06,53
2016-07,56
2016-08,55
2016-09,56
2016-10,60
2016-11,72
2016-12,76
2017-01,63
2017-02,57
2017-03,58
2017-04,57
2017-05,61
2017-06,61
2017-07,66
2017-08,66
2017-09,68
2017-10,70
2017-11,86
2017-12,88
2018-01,73
2018-02,66
2018-03,65
2018-04,63
2018-05,62
2018-06,62
2018-07,69
2018-08,65
2018-09,66
2018-10,69
2018-11,83
2018-12,86
2019-01,70
2019-02,65
2019-03,64
2019-04,65
2019-05,67
2019-06,67
2019-07,74
2019-08,75
2019-09,73
2019-10,76
2019-11,92
2019-12,99
2020-01,78
2020-02,74
2020-03,84
2020-04,100
2020-05,98
2020-06,90
2020-07,87
2020-08,86
2020-09,82
