date,data
2004-01,28
2004-02,30
2004-03,28
2004-04,26
2004-05,24
2004-06,25
2004-07,24
2004-08,23
2004-09,23
2004-10,25
2004-11,28
2004-12,30
2005-01,27
2005-02,30
2005-03,30
2005-04,30
2005-05,29
2005-06,28
2005-07,31
2005-08,31
2005-09,30
2005-10,32
2005-11,34
2005-12,32
2006-01,37
2006-02,38
2006-03,38
2006-04,37
2006-05,38
2006-06,35
2006-07,36
2006-08,34
2006-09,34
2006-10,39
2006-11,40
2006-12,38
2007-01,41
2007-02,45
2007-03,46
2007-04,43
2007-05,42
2007-06,40
2007-07,45
2007-08,52
2007-09,44
2007-10,51
2007-11,51
2007-12,43
2008-01,55
2008-02,49
2008-03,51
2008-04,49
2008-05,48
2008-06,46
2008-07,51
2008-08,43
2008-09,69
2008-10,100
2008-11,73
2008-12,64
2009-01,61
2009-02,64
2009-03,71
2009-04,66
2009-05,60
2009-06,56
2009-07,56
2009-08,55
2009-09,55
2009-10,57
2009-11,53
2009-12,48
2010-01,50
2010-02,50
2010-03,51
2010-04,54
2010-05,57
2010-06,49
2010-07,49
2010-08,48
2010-09,47
2010-10,49
2010-11,51
2010-12,47
2011-01,48
2011-02,51
2011-03,53
2011-04,50
2011-05,47
2011-06,46
2011-07,45
2011-08,69
2011-09,53
2011-10,52
2011-11,49
2011-12,42
2012-01,42
2012-02,49
2012-03,48
2012-04,46
2012-05,50
2012-06,44
2012-07,43
2012-08,43
2012-09,43
2012-10,46
2012-11,44
2012-12,42
2013-01,50
2013-02,51
2013-03,49
2013-04,50
2013-05,50
2013-06,46
2013-07,48
2013-08,48
2013-09,45
2013-10,51
2013-11,44
2013-12,40
2014-01,46
2014-02,48
2014-03,45
2014-04,45
2014-05,39
2014-06,37
2014-07,40
2014-08,37
2014-09,41
2014-10,47
2014-11,39
2014-12,39
2015-01,40
2015-02,42
2015-03,41
2015-04,41
2015-05,36
2015-06,36
2015-07,39
2015-08,45
2015-09,40
2015-10,40
2015-11,35
2015-12,35
2016-01,39
2016-02,40
2016-03,36
2016-04,36
2016-05,31
2016-06,36
2016-07,32
2016-08,28
2016-09,27
2016-10,26
2016-11,31
2016-12,27
2017-01,27
2017-02,28
2017-03,29
2017-04,25
2017-05,27
2017-06,24
2017-07,22
2017-08,24
2017-09,23
2017-10,26
2017-11,27
2017-12,27
2018-01,32
2018-02,40
2018-03,32
2018-04,32
2018-05,30
2018-06,28
2018-07,26
2018-08,28
2018-09,27
2018-10,34
2018-11,30
2018-12,30
2019-01,30
2019-02,29
2019-03,27
2019-04,28
2019-05,29
2019-06,27
2019-07,28
2019-08,33
2019-09,29
2019-10,30
2019-11,29
2019-12,27
2020-01,32
2020-02,42
2020-03,74
2020-04,60
2020-05,50
2020-06,56
2020-07,50
2020-08,47
2020-09,50
